energy_eV,cross_section_m2
3.8,1e-44
4.03633,1.46095e-20
4.6497,3.60083e-20
5.40182,7.68548e-20
6.34425,1.46095e-19
7.29952,2.61627e-19
8.83615,4.05725e-19
10.6963,4.97332e-19
12.5624,5.11495e-19
15.6547,5.11495e-19
19.7216,5.11495e-19
24.6058,4.29163e-19
31.2994,4.05725e-19
35.3222,3.50112e-19
45.3678,3.11819e-19
56.0588,2.33012e-19
69.8578,1.54534e-19
90.7069,9.7231e-20
117.778,5.90665e-20
156.106,3.11819e-20
296.658,8.39036e-21
979.655,7.90434e-22
1000.0,7.58591e-22
1258.93,4.78638e-22
1584.89,3.02e-22
1995.26,1.90549e-22
2511.89,1.20229e-22
3162.28,7.58591e-23
3981.07,4.78638e-23
5011.87,3.02e-23
6309.57,1.90549e-23
7943.28,1.20229e-23
10000.0,7.58591e-24
12589.3,4.78638e-24
15848.9,3.02e-24
19952.6,1.90549e-24
25118.9,1.20229e-24
31622.8,7.58591e-25
39810.7,4.78638e-25
50118.7,3.02e-25
63095.7,1.90549e-25
79432.8,1.20229e-25
100000.0,7.58591e-26
125893.0,4.78638e-26
158489.0,3.02e-26
199526.0,1.90549e-26
251189.0,1.20229e-26
316228.0,7.58591e-27
398107.0,4.78638e-27
501187.0,3.02e-27
630957.0,1.90549e-27
794328.0,1.20229e-27
