energy_eV,cross_section_m2
1.5,1e-44
2.07863,4.87968e-22
2.29774,6.53391e-22
2.75396,1.07288e-21
3.2651,1.7128e-21
4.112,2.98573e-21
5.66259,7.60965e-21
7.06281,1.36436e-20
8.89477,1.99479e-20
9.92782,2.2403e-20
11.3106,2.05172e-20
13.688,1.67311e-20
17.9392,1.04801e-20
27.078,5.68306e-21
37.2888,3.07094e-21
49.8833,1.98546e-21
62.2182,1.10738e-21
72.2671,9.03031e-22
111.211,4.34494e-22
181.79,1.65749e-22
434.685,3.62721e-23
979.683,7.71746e-24
1000.0,7.40701e-24
1258.93,4.67351e-24
1584.89,2.94878e-24
1995.26,1.86056e-24
2511.89,1.17393e-24
3162.28,7.40701e-25
3981.07,4.67351e-25
5011.87,2.94878e-25
6309.57,1.86056e-25
7943.28,1.17393e-25
10000.0,7.40701e-26
12589.3,4.67351e-26
15848.9,2.94878e-26
19952.6,1.86056e-26
25118.9,1.17393e-26
31622.8,7.40701e-27
39810.7,4.67351e-27
50118.7,2.94878e-27
63095.7,1.86056e-27
79432.8,1.17393e-27
100000.0,7.40701e-28
125893.0,4.67351e-28
158489.0,2.94878e-28
199526.0,1.86056e-28
251189.0,1.17393e-28
316228.0,7.40701e-29
398107.0,4.67351e-29
501187.0,2.94878e-29
630957.0,1.86056e-29
794328.0,1.17393e-29
