energy_eV,cross_section_m2
1.5,1e-44
2.02124,7.47267e-22
3.69086,3.50112e-21
5.24097,8.6293e-21
7.60586,2.07526e-20
9.19585,2.77714e-20
10.3778,2.93757e-20
12.1883,2.46472e-20
16.6303,1.46095e-20
22.0421,8.6293e-21
35.3222,4.29163e-21
49.1961,2.39648e-21
62.5791,1.68707e-21
185.123,6.44839e-23
717.989,1.02848e-24
1000.0,3.80672e-25
1258.93,1.90788e-25
1584.89,9.56205e-26
1995.26,4.79238e-26
2511.89,2.40188e-26
3162.28,1.20379e-26
3981.07,6.03325e-27
5011.87,3.02379e-27
6309.57,1.51548e-27
7943.28,7.59541e-28
10000.0,3.80672e-28
12589.3,1.90788e-28
15848.9,9.56205e-29
19952.6,4.79238e-29
25118.9,2.40188e-29
31622.8,1.20379e-29
39810.7,6.03325e-30
50118.7,3.02379e-30
63095.7,1.51548e-30
79432.8,7.59541e-31
100000.0,3.80672e-31
125893.0,1.90788e-31
158489.0,9.56205e-32
199526.0,4.79238e-32
251189.0,2.40188e-32
316228.0,1.20379e-32
398107.0,6.03325e-33
501187.0,3.02379e-33
630957.0,1.51548e-33
794328.0,7.59541e-34
