x_m,y_m,n_Cu_m3,S_iz_Cu_m3_s,Bx_T,By_T,Bmag_T
-0.23812499999999998,0.0031249999999999997,7660170354068251.0,6.963225644364201e-20,-0.00010271998675302014,-0.0014847397134952747,0.0014882887530679558
-0.23812499999999998,0.009375,0.0,6.143352178469719e-20,-9.921657875698073e-05,-0.0014815373918786168,0.0014848558761828483
-0.23812499999999998,0.015625,1.53203407081365e+16,5.4201182032143336e-20,-9.56404650196259e-05,-0.0014785777569043678,0.001481667736627049
-0.23812499999999998,0.021875,6.128136283254602e+16,4.782121212241987e-20,-9.20090350020361e-05,-0.0014758610895510837,0.001478726349996144
-0.23812499999999998,0.028124999999999997,1.5320340708136504e+16,4.2193047683645103e-20,-8.833936735335284e-05,-0.0014733861536354981,0.00147603204624737
-0.23812499999999998,0.034374999999999996,2.2980511062204744e+16,3.722799678583447e-20,-8.464807653382352e-05,-0.0014711502642579155,0.0014735835221958106
-0.23812499999999998,0.040624999999999994,2.2980511062204756e+16,3.2847838757415387e-20,-8.095117224948336e-05,-0.0014691493733088362,0.0014713779165742265
-0.23812499999999998,0.046875,2.2980511062204756e+16,2.898358809163881e-20,-7.726393366982512e-05,-0.0014673781696483766,0.0014694109051612333
-0.23812499999999998,0.05312499999999999,5.362119247847776e+16,2.5574404044232057e-20,-7.360079994313925e-05,-0.0014658301913541693,0.0014676768130748917
-0.23812499999999998,0.059375,5.362119247847776e+16,2.256662879841928e-20,-6.997527805140496e-05,-0.001464497947307575,0.001466168741041246
-0.23812499999999998,0.06562499999999999,8.426187389475078e+16,1.9912939081061535e-20,-6.63998685757456e-05,-0.0014633730453503851,0.001464878702283891
-0.23812499999999998,0.071875,1.1490255531102365e+17,1.7571597885708432e-20,-6.288600949105572e-05,-0.0014624463242892554,0.0014637977666388424
-0.23812499999999998,0.078125,1.0724238495695565e+17,1.5505794522633752e-20,-5.9444037688800894e-05,-0.0014617079871444025,0.0014629162085705689
-0.23812499999999998,0.08437499999999999,8.426187389475069e+16,1.368306259696427e-20,-5.60831675517894e-05,-0.0014611477332218045,0.001462223655937032
-0.23812499999999998,0.09062499999999998,4.596102212440955e+16,1.207476673540293e-20,-5.2811485582556376e-05,-0.0014607548868219528,0.0014617092366074904
-0.23812499999999998,0.09687499999999999,9.958221460288718e+16,1.0655649958815953e-20,-4.9635959823392215e-05,-0.001460518520669963,0.0014613617203579564
-0.23812499999999998,0.103125,7.660170354068243e+16,9.40343454885258e-21,-4.6562462603572025e-05,-0.0014604275724484422,0.001461169653836049
-0.23812499999999998,0.109375,9.95822146028874e+16,8.298470096552686e-21,-4.359580500779973e-05,-0.0014604709531232981,0.0014611214867803269
-0.23812499999999998,0.11562499999999999,8.426187389475069e+16,7.323423162573159e-21,-4.073978137672439e-05,-0.0014606376460621858,0.00146120568808115
-0.23812499999999998,0.12187499999999998,1.149025553110239e+17,6.463003633685463e-21,-3.799722212114267e-05,-0.0014609167962454587,0.00146141085066487
-0.23812499999999998,0.128125,1.2256272566509216e+17,5.703723438667748e-21,-3.5370053150232386e-05,-0.0014612977891520066,0.0014617257845575525
-0.23812499999999998,0.13437499999999997,1.1490255531102365e+17,5.033683797545006e-21,-3.285936027396637e-05,-0.0014617703191607007,0.0014621395978280567
