x_m,Gamma_Cu_target_m1_s
-0.23812499999999998,0.0
-0.234375,0.0
-0.23062499999999997,0.0
-0.226875,0.0
-0.223125,0.0
-0.219375,0.0
-0.215625,0.0
-0.21187499999999998,0.0
-0.208125,0.0
-0.20437499999999997,0.0
-0.200625,0.0
-0.196875,0.0
-0.193125,0.0
-0.189375,0.0
-0.18562499999999998,0.0
-0.181875,0.0
-0.17812499999999998,1.6294716756347297e-06
-0.174375,8.808840653445418e-06
-0.170625,4.656065340332087e-05
-0.166875,0.00024062888175992267
-0.163125,0.0012159194723066365
-0.159375,0.0060074511549618684
-0.155625,0.029020444313038424
-0.15187499999999998,0.1370712080958635
-0.148125,0.6330190762329521
-0.14437499999999998,2.8583521256592452
-0.140625,12.61952577232751
-0.136875,54.47518511215259
-0.133125,229.9231859329748
-0.129375,948.8448325171322
-0.125625,3828.5647725801564
-0.121875,15104.459025867058
-0.118125,58264.32587374603
-0.11437499999999999,219749.88207987737
-0.11062499999999999,810369.243488927
-0.10687499999999998,2921901.8447848815
-0.103125,10300935.547577003
-0.099375,35507172.593936116
-0.095625,119669613.03418615
-0.091875,394348375.7264306
-0.088125,1270587563.6062236
-0.08437499999999999,4002741262.3685
-0.08062499999999999,12329311078.206928
-0.076875,37132011527.736046
-0.07312500000000001,109341875035.65384
-0.069375,314813198407.47156
-0.065625,886232597893.6321
-0.061875,2439331833337.648
-0.058124999999999996,6564813919377.218
-0.05437499999999999,17274374541524.496
-0.05062499999999999,44443741927179.81
-0.046874999999999986,111801408944606.95
-0.043125,274987093271885.28
-0.03937500000000001,661310956725915.6
-0.035625000000000004,1554989641238790.8
-0.031875,3575013255696533.5
-0.028124999999999997,8036300849954511.0
-0.024374999999999994,1.7662943970455282e+16
-0.02062499999999999,3.795756723235863e+16
-0.016875,7.975575356084763e+16
-0.013125000000000012,1.6385286885533526e+17
-0.009375000000000008,3.2913529065216224e+17
-0.005625000000000005,6.464325643962684e+17
-0.0018750000000000017,1.2413675130450516e+18
0.0018750000000000017,2.330804775248458e+18
0.005625000000000005,4.2789754711710244e+18
0.009374999999999994,7.680722398526224e+18
0.013124999999999998,1.3480087614352726e+19
0.016875,2.3131922849082413e+19
0.020625000000000004,3.8811383976208105e+19
0.024375000000000008,6.367000706833624e+19
0.02812500000000001,1.021266393097614e+20
0.031875000000000014,1.6016645289265827e+20
0.03562499999999999,2.456023108050564e+20
0.03937499999999999,3.682321586097401e+20
0.043125,5.3980804548757114e+20
0.046875,7.737227498136618e+20
0.050625,1.0843257075028196e+21
0.05437500000000001,1.4858073968157707e+21
0.05812500000000001,1.9906442420387386e+21
0.061874999999999986,2.6076731911275733e+21
0.06562499999999999,3.339958313965144e+21
0.06937499999999999,4.1827056677124304e+21
0.073125,5.121556137927078e+21
0.076875,6.13161593452938e+21
0.080625,7.177551628294032e+21
0.084375,8.214971860163194e+21
0.08812499999999998,9.193147100027802e+21
0.09187499999999998,1.0058905143169553e+22
0.09562499999999999,1.0761321100587758e+22
0.09937499999999999,1.1256641680638332e+22
0.103125,1.1512786946658182e+22
0.106875,1.1512786946658182e+22
0.110625,1.1256641680638332e+22
0.114375,1.0761321100587758e+22
0.11812500000000001,1.0058905143169553e+22
0.12187499999999998,9.193147100027809e+21
0.125625,8.214971860163194e+21
0.129375,7.177551628294032e+21
0.133125,6.13161593452938e+21
0.136875,5.121556137927078e+21
0.140625,4.1827056677124304e+21
0.144375,3.339958313965144e+21
0.148125,2.6076731911275733e+21
0.151875,1.9906442420387342e+21
0.15562499999999999,1.4858073968157707e+21
0.159375,1.0843257075028196e+21
0.163125,7.737227498136618e+20
0.166875,5.3980804548757114e+20
0.170625,3.682321586097401e+20
0.174375,2.456023108050564e+20
0.178125,1.6016645289265768e+20
0.18187499999999998,0.0
0.18562499999999998,0.0
0.189375,0.0
0.193125,0.0
0.196875,0.0
0.200625,0.0
0.204375,0.0
0.20812499999999998,0.0
0.21187499999999998,0.0
0.21562499999999998,0.0
0.219375,0.0
0.223125,0.0
0.226875,0.0
0.230625,0.0
0.234375,0.0
0.238125,0.0
