ELASTIC
Cu
8.63000000e-06
SPECIES: e / Cu
PROCESS: E + Cu -> E + Cu, Elastic
PARAM.:  m/M = 0.00000863, complete set
COMMENT: elastic momentum transfer.
UPDATED: 2012-09-12 13:41:58
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
4.91961000e+01	2.39648000e-21
6.25791000e+01	1.68707000e-21
1.85123000e+02	6.44839000e-23
7.17989000e+02	1.02848000e-24
1.00000000e+03	3.80672000e-25
1.25893000e+03	1.90788000e-25
1.58489000e+03	9.56205000e-26
1.99526000e+03	4.79238000e-26
2.51189000e+03	2.40188000e-26
3.16228000e+03	1.20379000e-26
3.98107000e+03	6.03325000e-27
5.01187000e+03	3.02379000e-27
6.30957000e+03	1.51548000e-27
7.94328000e+03	7.59541000e-28
1.00000000e+04	3.80672000e-28
1.25893000e+04	1.90788000e-28
1.58489000e+04	9.56205000e-29
1.99526000e+04	4.79238000e-29
2.51189000e+04	2.40188000e-29
3.16228000e+04	1.20379000e-29
3.98107000e+04	6.03325000e-30
5.01187000e+04	3.02379000e-30
6.30957000e+04	1.51548000e-30
7.94328000e+04	7.59541000e-31
1.00000000e+05	3.80672000e-31
1.25893000e+05	1.90788000e-31
1.58489000e+05	9.56205000e-32
1.99526000e+05	4.79238000e-32
2.51189000e+05	2.40188000e-32
3.16228000e+05	1.20379000e-32
3.98107000e+05	6.03325000e-33
5.01187000e+05	3.02379000e-33
