x,y,Bx,By
-0.23812499999999998,0.0031249999999999997,-0.00010271998675302014,-0.0014847397134952747
-0.23812499999999998,0.009375,-9.921657875698073e-05,-0.0014815373918786168
-0.23812499999999998,0.015625,-9.56404650196259e-05,-0.0014785777569043678
-0.23812499999999998,0.021875,-9.20090350020361e-05,-0.0014758610895510837
-0.23812499999999998,0.028124999999999997,-8.833936735335284e-05,-0.0014733861536354981
-0.23812499999999998,0.034374999999999996,-8.464807653382352e-05,-0.0014711502642579155
-0.23812499999999998,0.040624999999999994,-8.095117224948336e-05,-0.0014691493733088362
-0.23812499999999998,0.046875,-7.726393366982512e-05,-0.0014673781696483766
-0.23812499999999998,0.05312499999999999,-7.360079994313925e-05,-0.0014658301913541693
-0.23812499999999998,0.059375,-6.997527805140496e-05,-0.001464497947307575
-0.23812499999999998,0.06562499999999999,-6.63998685757456e-05,-0.0014633730453503851
-0.23812499999999998,0.071875,-6.288600949105572e-05,-0.0014624463242892554
-0.23812499999999998,0.078125,-5.9444037688800894e-05,-0.0014617079871444025
-0.23812499999999998,0.08437499999999999,-5.60831675517894e-05,-0.0014611477332218045
-0.23812499999999998,0.09062499999999998,-5.2811485582556376e-05,-0.0014607548868219528
-0.23812499999999998,0.09687499999999999,-4.9635959823392215e-05,-0.001460518520669963
-0.23812499999999998,0.103125,-4.6562462603572025e-05,-0.0014604275724484422
-0.23812499999999998,0.109375,-4.359580500779973e-05,-0.0014604709531232981
-0.23812499999999998,0.11562499999999999,-4.073978137672439e-05,-0.0014606376460621858
-0.23812499999999998,0.12187499999999998,-3.799722212114267e-05,-0.0014609167962454587
-0.23812499999999998,0.128125,-3.5370053150232386e-05,-0.0014612977891520066
-0.23812499999999998,0.13437499999999997,-3.285936027396637e-05,-0.0014617703191607007
-0.23812499999999998,0.140625,-3.0465457033301013e-05,-0.0014623244475376823
-0.23812499999999998,0.14687499999999998,-2.8187954531281063e-05,-0.0014629506502774822
-0.23812499999999998,0.153125,-2.602583197651323e-05,-0.0014636398562306314
-0.23812499999999998,0.159375,-2.397750680071291e-05,-0.001464383476082043
-0.23812499999999998,0.16562499999999997,-2.2040903368059986e-05,-0.0014651734228442155
-0.23812499999999998,0.171875,-2.0213519450590548e-05,-0.0014660021245993006
-0.23812499999999998,0.17812499999999998,-1.8492489796342355e-05,-0.0014668625302670143
-0.23812499999999998,0.18437499999999998,-1.6874646261907756e-05,-0.0014677481091944283
-0.23812499999999998,0.190625,-1.535657411575228e-05,-0.0014686528453622073
-0.23812499999999998,0.19687499999999997,-1.3934664241218809e-05,-0.0014695712269833243
-0.23812499999999998,0.203125,-1.260516107741991e-05,-0.0014704982322380257
-0.23812499999999998,0.20937499999999998,-1.1364206231655422e-05,-0.0014714293118459885
-0.23812499999999998,0.21562499999999998,-1.0207877778569185e-05,-0.0014723603691261383
-0.23812499999999998,0.221875,-9.132225329362972e-06,-0.0014732877381390412
-0.23812499999999998,0.22812499999999997,-8.133301009731643e-06,-0.001474208160448392
-0.23812499999999998,0.234375,-7.207186528709746e-06,-0.0014751187609788159
-0.23812499999999998,0.24062499999999998,-6.350016553423513e-06,-0.0014760170233885117
-0.23812499999999998,0.24687499999999996,-5.55799862799587e-06,-0.001476900765318456
-0.23812499999999998,0.253125,-4.827429889769258e-06,-0.0014777681138258866
-0.23812499999999998,0.25937499999999997,-4.15471084377862e-06,-0.0014786174812593045
-0.23812499999999998,0.265625,-3.5363564581709185e-06,-0.001479447541785695
-0.23812499999999998,0.271875,-2.9690048401006437e-06,-0.001480257208738382
-0.23812499999999998,0.27812499999999996,-2.449423744510962e-06,-0.0014810456129159698
-0.23812499999999998,0.284375,-1.974515158022986e-06,-0.0014818120819291747
-0.23812499999999998,0.29062499999999997,-1.5413181876828659e-06,-0.0014825561206629053
-0.23812499999999998,0.296875,-1.147010470229013e-06,-0.0014832773928954862
-0.23812499999999998,0.303125,-7.889083024279301e-07,-0.0014839757040952068
-0.23812499999999998,0.30937499999999996,-4.6446567736189484e-07,-0.0014846509853961136
-0.23812499999999998,0.315625,-1.7127239574105243e-07,-0.0014853032787398592
-0.23812499999999998,0.32187499999999997,9.294859432488578e-08,-0.0014859327231581429
-0.23812499999999998,0.328125,3.3034449087295926e-07,-0.0014865395421605288
-0.23812499999999998,0.334375,5.429364413232825e-07,-0.001487124032184894
-0.23812499999999998,0.34062499999999996,7.326237456152374e-07,-0.0014876865520621707
-0.23812499999999998,0.34687499999999993,9.011883624375321e-07,-0.0014882275134431066
-0.23812499999999998,0.35312499999999997,1.050299633819322e-06,-0.001488747372132256
-0.23812499999999998,0.359375,1.1815191544806307e-06,-0.0014892466202730947
-0.23812499999999998,0.365625,1.296305722526576e-06,-0.0014897257793278112
-0.23812499999999998,0.37187499999999996,1.3960203173250779e-06,-0.0014901853937958006
-0.23812499999999998,0.37812499999999993,1.4819310587597106e-06,-0.0014906260256160112
-0.23812499999999998,0.38437499999999997,1.5552181095409892e-06,-0.001491048249199912
-0.23812499999999998,0.390625,1.6169784889339051e-06,-0.0014914526470438854
-0.23812499999999998,0.396875,1.6682307721739236e-06,-0.0014918398058721273
-0.23812499999999998,0.40312499999999996,1.7099196550494506e-06,-0.0014922103132636625
-0.23812499999999998,0.40937499999999993,1.742920367685035e-06,-0.0014925647547196885
-0.23812499999999998,0.41562499999999997,1.7680429255206553e-06,-0.001492903711130168
-0.23812499999999998,0.421875,1.7860362089042744e-06,-0.001493227756601281
-0.23812499999999998,0.428125,1.7975918656497138e-06,-0.0014935374566080396
-0.23812499999999998,0.43437499999999996,1.8033480334100512e-06,-0.0014938333664389826
-0.23812499999999998,0.44062499999999993,1.8038928808248737e-06,-0.0014941160299024158
-0.23812499999999998,0.44687499999999997,1.7997679681626754e-06,-0.001494385978266099
-0.23812499999999998,0.453125,1.791471429636791e-06,-0.00149464372940462
-0.23812499999999998,0.459375,1.7794609807624033e-06,-0.0014948897871308923
-0.23812499999999998,0.46562499999999996,1.7641567550774336e-06,-0.0014951246406903038
-0.23812499999999998,0.47187499999999993,1.7459439753013233e-06,-0.0014953487643979875
-0.23812499999999998,0.47812499999999997,1.7251754645812704e-06,-0.0014955626174015123
-0.23812499999999998,0.48437499999999994,1.7021740038999727e-06,-0.0014957666435529784
-0.23812499999999998,0.490625,1.677234542014288e-06,-0.0014959612713760788
-0.23812499999999998,0.49687499999999996,1.6506262644801638e-06,-0.0014961469141151268
-0.23812499999999998,0.5031249999999999,1.6225945284129436e-06,-0.0014963239698543892
-0.23812499999999998,0.5093749999999999,1.5933626696494827e-06,-0.00149649282169728
-0.23812499999999998,0.515625,1.5631336889316786e-06,-0.0014966538379960965
-0.23812499999999998,0.5218749999999999,1.5320918236331023e-06,-0.001496807372623988
-0.23812499999999998,0.528125,1.5004040114100712e-06,-0.0014969537652817907
-0.23812499999999998,0.534375,1.4682212519857266e-06,-0.0014970933418331895
-0.23812499999999998,0.5406249999999999,1.4356798730769735e-06,-0.0014972264146624486
-0.23812499999999998,0.546875,1.402902706256651e-06,-0.00149735328304963
-0.23812499999999998,0.5531249999999999,1.3700001783119318e-06,-0.0014974742335588497
-0.23812499999999998,0.559375,1.3370713234198528e-06,-0.0014975895404356827
-0.23812499999999998,0.565625,1.304204721215248e-06,-0.0014976994660103268
-0.23812499999999998,0.5718749999999999,1.2714793655792276e-06,-0.001497804261103595
-0.23812499999999998,0.578125,1.2389654687295207e-06,-0.001497904165433205
-0.23812499999999998,0.5843749999999999,1.2067252049504391e-06,-0.0014979994080181944
-0.23812499999999998,0.590625,1.174813398060967e-06,-0.0014980902075796218
-0.23812499999999998,0.596875,1.1432781564864945e-06,-0.0014981767729359845
-0.234375,0.0031249999999999997,-0.0001111162783342401,-0.0014833045834114803
-0.234375,0.009375,-0.00010730439451040232,-0.0014798038753775422
-0.234375,0.015625,-0.00010341080988337328,-0.0014765702483351814
-0.234375,0.021875,-9.945493824795348e-05,-0.0014736041414682708
-0.234375,0.028124999999999997,-9.545585106106652e-05,-0.0014709042778136905
-0.234375,0.034374999999999996,-9.143210189843622e-05,-0.001468467741861136
-0.234375,0.040624999999999994,-8.740156568287802e-05,-0.0014662900768918129
-0.234375,0.046875,-8.338129498590935e-05,-0.0014643653992643148
-0.234375,0.05312499999999999,-7.938739516423207e-05,-0.0014626865266025718
-0.234375,0.059375,-7.54349195338244e-05,-0.0014612451166949633
-0.234375,0.06562499999999999,-7.153778522868835e-05,-0.0014600318138731033
-0.234375,0.071875,-6.770870985860332e-05,-0.0014590363996966216
-0.234375,0.078125,-6.395916858764931e-05,-0.0014582479449159905
-0.234375,0.08437499999999999,-6.0299370816581095e-05,-0.001457654959905908
-0.234375,0.09062499999999998,-5.673825527744203e-05,-0.0014572455410419025
-0.234375,0.09687499999999999,-5.32835020444446e-05,-0.001457007510816804
-0.234375,0.103125,-4.994155973382728e-05,-0.001456928549845704
-0.234375,0.109375,-4.6717686006556465e-05,-0.0014569963192728878
-0.234375,0.11562499999999999,-4.361599939796191e-05,-0.001457198572458334
-0.234375,0.12187499999999998,-4.063954047201239e-05,-0.0014575232551728736
-0.234375,0.128125,-3.7790340327578966e-05,-0.0014579585938602467
-0.234375,0.13437499999999997,-3.5069494561248073e-05,-0.0014584931718236553
-0.234375,0.140625,-3.247724090702454e-05,-0.001459115993458648
-0.234375,0.14687499999999998,-3.0013038918524662e-05,-0.0014598165368802257
-0.234375,0.153125,-2.7675650225289852e-05,-0.001460584795478557
-0.234375,0.159375,-2.5463218073543466e-05,-0.0014614113090850825
-0.234375,0.16562499999999997,-2.3373345045885013e-05,-0.0014622871855406786
-0.234375,0.171875,-2.1403168037870346e-05,-0.0014632041135326838
-0.234375,0.17812499999999998,-1.9549429747060602e-05,-0.0014641543676113791
-0.234375,0.18437499999999998,-1.7808546097917998e-05,-0.001465130806312834
-0.234375,0.190625,-1.617666918090256e-05,-0.001466126864307985
-0.234375,0.19687499999999997,-1.4649745424244127e-05,-0.0014671365394715342
-0.234375,0.203125,-1.322356884095304e-05,-0.0014681543757226934
-0.234375,0.20937499999999998,-1.1893829301212415e-05,-0.0014691754424367041
-0.234375,0.21562499999999998,-1.0656155871505032e-05,-0.0014701953111648
-0.234375,0.221875,-9.5061553372627e-06,-0.0014712100303338107
-0.234375,0.22812499999999997,-8.439446086429634e-06,-0.0014722160985275532
-0.234375,0.234375,-7.451687578317984e-06,-0.0014732104368825967
-0.234375,0.24062499999999998,-6.538605656837139e-06,-0.0014741903610627227
-0.234375,0.24687499999999996,-5.696013991047041e-06,-0.0014751535532107575
-0.234375,0.253125,-4.919831940455235e-06,-0.0014760980342144762
-0.234375,0.25937499999999997,-4.206099148967553e-06,-0.0014770221365656643
-0.234375,0.265625,-3.550987171248904e-06,-0.0014779244780386647
-0.234375,0.271875,-2.9508084297036783e-06,-0.0014788039363670391
-0.234375,0.27812499999999996,-2.4020227904723275e-06,-0.0014796596250544376
-0.234375,0.284375,-1.9012420337721447e-06,-0.0014804908704182773
-0.234375,0.29062499999999997,-1.4452324784696307e-06,-0.0014812971899322445
-0.234375,0.296875,-1.0309160037207872e-06,-0.0014820782719056284
-0.234375,0.303125,-6.553696924969691e-07,-0.0014828339565138085
-0.234375,0.30937499999999996,-3.1582430336255866e-07,-0.0014835642181744457
-0.234375,0.315625,-9.661758422192331e-09,-0.0014842691492477293
-0.234375,0.32187499999999997,2.6558818274701366e-07,-0.001484948945026018
-0.234375,0.328125,5.122519108491085e-07,-0.001485603889968023
-0.234375,0.334375,7.325164806528512e-07,-0.0014862343451249429
-0.234375,0.34062499999999996,9.284345308689664e-07,-0.0014868407367003755
-0.234375,0.34687499999999993,1.1019295048577137e-06,-0.0014874235456820448
