BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
Cu                                                              
cu_siglo_bolsig_clean.txt



C1 Input cross section
ELASTIC
Cu                                                              
  0.863000E-05
--------------------------------
0.256400E-01	0.852640E-18
0.525800E-01	0.112764E-17
0.789600E-01	0.157921E-17
0.106200	0.223784E-17
0.133030	0.288092E-17
0.164120	0.340358E-17
0.191470	0.391415E-17
0.211590	0.425800E-17
0.250210	0.425800E-17
0.272320	0.420102E-17
0.296390	0.397393E-17
0.322580	0.365302E-17
0.439050	0.279962E-17
0.549980	0.211687E-17
0.651480	0.174124E-17
0.770410	0.147137E-17
0.862990	0.124543E-17
0.978220	0.108297E-17
1.06467	0.927541E-18
1.19261	0.817489E-18
1.29801	0.752741E-18
1.41033	0.644705E-18
1.49393	0.592644E-18
1.62320	0.537496E-18
1.76665	0.487480E-18
2.06453	0.389661E-18
2.58176	0.294634E-18
3.67209	0.125667E-18
4.66260	0.282488E-18
5.03597	0.225766E-18
5.73846	0.455551E-18
6.09609	0.590665E-18
6.67476	0.665535E-18
7.22925	0.747267E-18
7.91548	0.793214E-18
8.92203	0.839036E-18
9.86390	0.839036E-18
11.3629	0.793214E-18
12.4264	0.726575E-18
15.3547	0.644839E-18
19.5317	0.497332E-18
24.8450	0.405725E-18
31.6037	0.360083E-18
38.2566	0.293757E-18
50.7059	0.261627E-18
63.8787	0.225766E-18
85.3856	0.184181E-18
103.360	0.174122E-18
172.585	0.102848E-18
252.590	0.703981E-19
341.326	0.511495E-19
452.400	0.393108E-19
563.760	0.311819E-19
696.610	0.254383E-19
859.726	0.195505E-19
1000.00	0.174122E-19
1258.93	0.138310E-19
1584.89	0.109864E-19
1995.26	0.872677E-20
2511.89	0.693192E-20
3162.28	0.550622E-20
3981.07	0.437375E-20
5011.87	0.347419E-20
6309.57	0.275965E-20
7943.28	0.219207E-20
10000.0	0.174122E-20
12589.3	0.138310E-20
15848.9	0.109864E-20
19952.6	0.872677E-21
25118.9	0.693192E-21
31622.8	0.550622E-21
39810.7	0.437375E-21
50118.7	0.347419E-21
63095.7	0.275965E-21
79432.8	0.219207E-21
100000.	0.174122E-21
125893.	0.138310E-21
158489.	0.109864E-21
199526.	0.872677E-22
251189.	0.693192E-22
316228.	0.550622E-22
398107.	0.437375E-22
501187.	0.347419E-22
630957.	0.275965E-22
794328.	0.219207E-22
--------------------------------


C2 Input cross section
EXCITATION
Cu                                                              
   1.50000       1.00000    
--------------------------------
1.50000	0.100000E-43
2.02124	0.747267E-21
3.69086	0.350112E-20
5.24097	0.862930E-20
7.60586	0.207526E-19
9.19585	0.277714E-19
10.3778	0.293757E-19
12.1883	0.246472E-19
16.6303	0.146095E-19
22.0421	0.862930E-20
35.3222	0.429163E-20
49.1961	0.239648E-20
62.5791	0.168707E-20
185.123	0.644839E-22
717.989	0.102848E-23
1000.00	0.380672E-24
1258.93	0.190788E-24
1584.89	0.956205E-25
1995.26	0.479238E-25
2511.89	0.240188E-25
3162.28	0.120379E-25
3981.07	0.603325E-26
5011.87	0.302379E-26
6309.57	0.151548E-26
7943.28	0.759541E-27
10000.0	0.380672E-27
12589.3	0.190788E-27
15848.9	0.956205E-28
19952.6	0.479238E-28
25118.9	0.240188E-28
31622.8	0.120379E-28
39810.7	0.603325E-29
50118.7	0.302379E-29
63095.7	0.151548E-29
79432.8	0.759541E-30
100000.	0.380672E-30
125893.	0.190788E-30
158489.	0.956205E-31
199526.	0.479238E-31
251189.	0.240188E-31
316228.	0.120379E-31
398107.	0.603325E-32
501187.	0.302379E-32
630957.	0.151548E-32
794328.	0.759541E-33
--------------------------------


C3 Input cross section
EXCITATION
Cu                                                              
   1.50000       1.00000    
--------------------------------
1.50000	0.100000E-43
2.07863	0.487968E-21
2.29774	0.653391E-21
2.75396	0.107288E-20
3.26510	0.171280E-20
4.11200	0.298573E-20
5.66259	0.760965E-20
7.06281	0.136436E-19
8.89477	0.199479E-19
9.92782	0.224030E-19
11.3106	0.205172E-19
13.6880	0.167311E-19
17.9392	0.104801E-19
27.0780	0.568306E-20
37.2888	0.307094E-20
49.8833	0.198546E-20
62.2182	0.110738E-20
72.2671	0.903031E-21
111.211	0.434494E-21
181.790	0.165749E-21
434.685	0.362721E-22
979.683	0.771746E-23
1000.00	0.740701E-23
1258.93	0.467351E-23
1584.89	0.294878E-23
1995.26	0.186056E-23
2511.89	0.117393E-23
3162.28	0.740701E-24
3981.07	0.467351E-24
5011.87	0.294878E-24
6309.57	0.186056E-24
7943.28	0.117393E-24
10000.0	0.740701E-25
